director_name,num_critic_for_reviews,director_likes,actor_3_name,actor_3_likes,actor_2_name,actor_2_likes,actor_1_name,actor_1_likes,gross,Movie Name,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_likes
Steve Oedekerk,98,176,Maurice LaMarche,523,Wanda Sykes,560,Rob Paulsen,677,72601713,BarnyardÂ ,21396,2055,155,English,Germany,PG,51000000,2006,5.6,1.85,605
John Whitesell,71,14,Alia Shawkat,728,Jorge Garcia,1000,Matthew Broderick,2000,35092918,Deck the HallsÂ ,15740,5468,110,English,USA,PG,,2006,4.9,1.85,1000
Chris Weitz,299,129,Taylor Lautner,12000,Kristen Stewart,17000,Robert Pattinson,21000,296623634,The Twilight Saga: New MoonÂ ,220758,64040,919,English,USA,PG-13,50000000,2009,4.6,2.35,13000
Andrew Adamson,212,80,Bobby Block,21,Chris Miller,50,Kathleen Freeman,145,267652016,ShrekÂ ,467113,275,945,English,USA,PG,60000000,2001,7.9,1.85,0
George Nolfi,413,53,Jon Stewart,593,Michael Kelly,963,Matt Damon,13000,62453315,The Adjustment BureauÂ ,200035,14607,407,English,USA,PG-13,50200000,2011,7.1,1.85,36000
Kevin Reynolds,67,58,Michael Wincott,720,Morgan Freeman,11000,Alan Rickman,25000,165500000,Robin Hood: Prince of ThievesÂ ,145257,38518,322,English,USA,PG-13,48000000,1991,6.9,1.85,0
Cameron Crowe,109,488,Bonnie Hunt,597,Kelly Preston,743,Tom Cruise,10000,153620822,Jerry MaguireÂ ,189923,12182,318,English,USA,R,50000000,1996,7.3,1.85,0
Seth MacFarlane,457,3000,Tom Skerritt,1000,Seth MacFarlane,3000,Mila Kunis,15000,218628680,TedÂ ,471644,21773,623,English,USA,R,50000000,2012,7,1.85,74000
James L. Brooks,156,274,Shirley Knight,285,Yeardley Smith,440,Lupe Ontiveros,625,147637474,As Good as It GetsÂ ,224671,1474,470,English,USA,PG-13,50000000,1997,7.7,1.85,11000
Tom Shadyac,55,293,Monica Potter,878,Philip Seymour Hoffman,22000,Robin Williams,49000,135014968,Patch AdamsÂ ,80580,74382,375,English,USA,PG-13,50000000,1998,6.7,2.35,0
Adam McKay,272,285,Steve Carell,7000,Will Ferrell,8000,Harrison Ford,11000,2175312,Anchorman 2: The Legend ContinuesÂ ,131227,28176,346,English,USA,PG-13,50000000,2013,6.3,2.35,41000
Steven Brill,117,65,Peter Gallagher,828,Adam Sandler,11000,Steve Buscemi,12000,126203320,Mr. DeedsÂ ,110432,26826,309,English,USA,PG-13,50000000,2002,5.8,1.85,0
J.J. Abrams,539,14000,Zach Mills,417,AJ Michalka,560,Joel Courtney,1000,126975169,Super 8Â ,287822,3388,849,English,USA,PG-13,50000000,2011,7.1,2.35,37000
Steven Soderbergh,169,0,Conchata Ferrell,658,Albert Finney,883,Julia Roberts,8000,125548685,Erin BrockovichÂ ,135246,10003,498,English,USA,R,52000000,2000,7.3,1.85,0
Donald Petrie,140,80,Thomas Lennon,651,Adam Goldberg,1000,Matthew McConaughey,11000,105807520,How to Lose a Guy in 10 DaysÂ ,156717,14087,357,English,USA,PG-13,50000000,2003,6.4,1.85,0
Phil Lord,330,97,Amber Stevens West,584,Craig Roberts,920,Channing Tatum,17000,191616238,22 Jump StreetÂ ,258186,19428,322,English,USA,R,50000000,2014,7.1,2.35,24000
Neil Jordan,120,277,Kirsten Dunst,4000,Tom Cruise,10000,Brad Pitt,11000,105264608,Interview with the Vampire: The Vampire ChroniclesÂ ,239752,25697,406,English,USA,R,60000000,1994,7.6,1.85,11000
Peyton Reed,190,235,Danny Masterson,1000,Zooey Deschanel,11000,Bradley Cooper,14000,97680195,Yes ManÂ ,271691,29505,243,English,USA,PG-13,70000000,2008,6.8,2.35,0
Rawson Marshall Thurber,177,43,Megan Park,569,Thomas Kretschmann,919,Dwayne Johnson,12000,126088877,Central IntelligenceÂ ,33354,14569,110,English,USA,PG-13,50000000,2016,6.6,2.35,10000
Chris Columbus,65,0,Herbert Russell,701,Liam Aiken,818,Julia Roberts,8000,91030827,StepmomÂ ,46482,9988,252,English,USA,PG-13,50000000,1998,6.7,2.35,0
Sean Anders,145,51,Mark L. Young,322,Linda Cardellini,2000,Will Ferrell,8000,150315155,Daddy's HomeÂ ,54010,10886,130,English,USA,PG-13,50000000,2015,6.1,1.85,13000
Rob Marshall,321,252,Anna Kendrick,10000,Meryl Streep,11000,Johnny Depp,40000,127997349,Into the WoodsÂ ,101178,62837,779,English,USA,PG,50000000,2014,6,2.39,90000
Spike Lee,230,0,Peter Gerety,277,James Ransone,412,Denzel Washington,18000,88504640,Inside ManÂ ,273108,19148,646,English,USA,R,45000000,2006,7.6,2.35,0
Brian Helgeland,143,241,William Devane,416,Deborah Kara Unger,495,Bill Duke,1000,81517441,PaybackÂ ,111368,3148,394,English,USA,R,50000000,1999,7.1,2.35,0
Frank Marshall,55,155,Grant Heslov,293,Joe Don Baker,387,Dylan Walsh,426,81022333,CongoÂ ,34471,1761,147,English,USA,PG-13,50000000,1995,5,1.85,0
Cameron Crowe,257,488,Stephanie Szostak,1000,Matt Damon,13000,Scarlett Johansson,19000,75621915,We Bought a ZooÂ ,111003,36873,199,English,USA,PG,,2011,7.1,1.85,22000
Alex Proyas,279,295,Chandler Canterbury,329,Ben Mendelsohn,748,Nicolas Cage,12000,79948113,KnowingÂ ,186879,13421,791,English,USA,PG-13,50000000,2009,6.2,2.35,0
Tom Dey,143,9,Zooey Deschanel,11000,Matthew McConaughey,11000,Bradley Cooper,14000,88658172,Failure to LaunchÂ ,58412,37967,242,English,USA,PG-13,50000000,2006,5.6,2.35,2000
Hideo Nakata,196,62,Sissy Spacek,874,Gary Cole,989,Naomi Watts,6000,75888270,The Ring TwoÂ ,71153,10163,560,English,USA,PG-13,,2005,5.4,1.85,0
Glenn Ficarra,310,43,Steve Carell,7000,Emma Stone,15000,Ryan Gosling,33000,84244877,"Crazy, Stupid, Love.Â ",375456,57426,292,English,USA,PG-13,50000000,2011,7.4,2.39,44000
Peter Hewitt,116,12,Michael Monks,58,Mark Christopher Lawrence,258,Bill Murray,13000,75367693,GarfieldÂ ,58961,13430,232,English,USA,PG,35000000,2004,5,1.85,795
Joe Roth,105,148,Jake Busey,660,Cheech Marin,843,Jamie Lee Curtis,2000,73701902,Christmas with the KranksÂ ,27548,6729,209,English,USA,PG,60000000,2004,5.2,2.35,0
Bennett Miller,419,152,Brad Pitt,11000,Robin Wright,18000,Philip Seymour Hoffman,22000,75605492,MoneyballÂ ,283563,53094,312,English,USA,PG-13,50000000,2011,7.6,1.85,27000
Wolfgang Petersen,64,249,Rene Russo,808,Morgan Freeman,11000,Kevin Spacey,18000,67823573,OutbreakÂ ,91176,30383,130,English,USA,R,50000000,1995,6.6,1.85,0
Jaume Collet-Serra,359,174,Scoot McNairy,660,Nate Parker,664,Liam Neeson,14000,91439400,Non-StopÂ ,200647,16967,384,English,UK,PG-13,50000000,2014,7,2.35,24000
Andy Fickman,166,99,Tom Everett Scott,433,Billy Brown,536,Dwayne Johnson,12000,67128202,Race to Witch MountainÂ ,43328,14007,110,English,USA,PG,65000000,2009,5.7,2.35,0
James McTeigue,525,160,Rupert Graves,443,Eddie Marsan,979,Natalie Portman,20000,70496802,V for VendettaÂ ,791783,22417,2042,English,USA,R,54000000,2005,8.2,2.35,48000
David Dobkin,165,71,Georgina Chapman,55,Anna-Louise Plowman,131,Fann Wong,154,60470220,Shanghai KnightsÂ ,81444,428,192,English,USA,PG-13,50000000,2003,6.2,2.35,955
,2,,Nicola Walker,132,Gemma Jones,171,Bernard Hill,416,,UnforgottenÂ             ,1824,1816,9,English,UK,,,,7.9,,0
Matthew O'Callaghan,87,5,Alexander Gould,1000,Frank Welker,2000,Will Ferrell,8000,58336565,Curious GeorgeÂ ,12845,11124,118,English,USA,G,50000000,2006,6.6,1.85,624
Angela Robinson,117,23,Cheryl Hines,541,Thomas Lennon,651,Scoot McNairy,660,66002004,Herbie Fully LoadedÂ ,36431,2177,168,English,USA,G,50000000,2005,4.7,1.85,1000
Gary Fleder,113,39,Conrad Goode,477,Jennifer Esposito,912,Oliver Platt,1000,54997476,Don't Say a WordÂ ,40362,3341,248,English,USA,R,50000000,2001,6.3,2.35,970
Tommy Wirkola,349,75,Ingrid BolsÃ¸ Berdal,467,Derek Mears,520,Jeremy Renner,10000,55682070,Hansel & Gretel: Witch HuntersÂ ,159868,11946,304,English,Germany,R,50000000,2013,6.1,2.35,45000
Adrian Lyne,152,213,Chad Lowe,372,Erik Per Sullivan,593,Olivier Martinez,838,52752475,UnfaithfulÂ ,63067,2583,533,English,USA,R,50000000,2002,6.7,1.85,0
D.J. Caruso,288,154,Reuben Langdon,144,Emily Wickersham,348,Alex Pettyfer,15000,55092830,I Am Number FourÂ ,195043,15608,329,English,USA,PG-13,60000000,2011,6.1,1.85,27000
Stephen Gaghan,358,79,Kayvan Novak,414,Amr Waked,903,Matt Damon,13000,50815288,SyrianaÂ ,109188,14747,625,English,USA,R,50000000,2005,7,2.35,0
Michael Bay,204,0,David Costabile,681,James Badge Dale,726,Toby Stephens,769,52822418,13 HoursÂ ,47764,3580,219,English,USA,R,50000000,2016,7.4,2.35,44000
Jorge R. GutiÃ©rrez,156,34,Ana de la Reguera,679,Hector Elizondo,995,Channing Tatum,17000,50150619,The Book of LifeÂ ,45580,19513,102,English,USA,PG,50000000,2014,7.3,2.35,18000
Richard Loncraine,171,12,Mary Lynn Rajskub,935,Harrison Ford,11000,Jimmy Bennett,87000,48745150,FirewallÂ ,50170,101383,306,English,USA,PG-13,50000000,2006,5.8,2.35,773
Clint Eastwood,76,16000,Scott Glenn,826,Mark Margolis,1000,Clint Eastwood,16000,50007168,Absolute PowerÂ ,39529,19139,142,English,USA,R,50000000,1997,6.7,2.35,1000
Ridley Scott,97,0,John Michael Higgins,957,Demi Moore,2000,Viggo Mortensen,10000,48154732,G.I. JaneÂ ,60326,15569,142,English,USA,R,50000000,1997,5.8,2.35,2000
David Fincher,157,21000,Charles Martinet,283,Armin Mueller-Stahl,294,Deborah Kara Unger,495,48265581,The GameÂ ,261069,1397,506,English,USA,R,50000000,1997,7.8,2.35,25000
Christophe Gans,267,50,Alice Krige,368,Deborah Kara Unger,495,Radha Mitchell,992,46982632,Silent HillÂ ,172792,1933,1740,English,Canada,R,50000000,2006,6.6,2.35,0
Howard Deutch,118,41,Faizon Love,585,Jon Favreau,4000,Keanu Reeves,18000,44737059,The ReplacementsÂ ,48322,24024,261,English,USA,PG-13,50000000,2000,6.5,1.85,0
Jon Hurwitz,291,22,Natasha Lyonne,1000,Dania Ramirez,1000,Alyson Hannigan,3000,56724080,American ReunionÂ ,172112,8398,181,English,USA,R,50000000,2012,6.7,1.85,39000
F. Gary Gray,68,473,Siobhan Fallon Hogan,294,Michael Cudlitz,822,Kevin Spacey,18000,44484065,The NegotiatorÂ ,107227,20152,279,English,Germany,R,50000000,1998,7.3,2.35,3000
Steven Quale,228,77,Scott Lawrence,159,Alycia Debnam-Carey,298,Matt Walsh,490,47553512,Into the StormÂ ,54101,1367,210,English,USA,PG-13,50000000,2014,5.8,1.85,15000
John Landis,36,644,Gilbert R. Hill,174,Jon Tenney,289,Louis Lombardi,437,42610000,Beverly Hills Cop IIIÂ ,60293,1093,114,English,USA,R,55000000,1994,5.5,1.85,669
Joe Dante,105,287,Phoebe Cates,767,Robert Picardo,823,Christopher Lee,16000,41482207,Gremlins 2: The New BatchÂ ,68428,19610,148,English,USA,PG-13,50000000,1990,6.3,1.85,0
David Dobkin,276,71,Leighton Meester,3000,Robert Duvall,3000,Robert Downey Jr.,21000,47105085,The JudgeÂ ,136973,30183,275,English,USA,R,50000000,2014,7.4,2.35,47000
Mimi Leder,93,75,Marcel Iures,258,Holt McCallany,273,Armin Mueller-Stahl,294,41256277,The PeacemakerÂ ,46451,1289,156,English,USA,R,50000000,1997,5.9,2.35,0
Alexander Witt,191,38,Mike Epps,706,Thomas Kretschmann,919,Milla Jovovich,14000,50740078,Resident Evil: ApocalypseÂ ,151580,16791,672,English,Germany,R,45000000,2004,6.2,2.35,0
Beeban Kidron,143,17,Celia Imrie,186,Jim Broadbent,1000,Colin Firth,14000,40203020,Bridget Jones: The Edge of ReasonÂ ,74315,15634,259,English,UK,R,40000000,2004,5.9,2.35,0
Carl Franklin,124,73,John Billingsley,323,Sanaa Lathan,886,Denzel Washington,18000,40905277,Out of TimeÂ ,45895,19739,157,English,USA,R,50000000,2003,6.5,2.35,1000
Steven Seagal,47,0,Sven-Ole Thorsen,158,Joan Chen,643,Mike Starr,854,38590500,On Deadly GroundÂ ,17997,1860,140,English,USA,R,50000000,1994,4.4,2.35,812
Robert Rodriguez,66,0,Taylor Dooley,717,Kristin Davis,722,Taylor Lautner,12000,39177541,The Adventures of Sharkboy and Lavagirl 3-DÂ ,20310,14899,177,English,USA,PG,50000000,2005,3.5,1.85,0
Danny Boyle,118,0,Peter Youngblood Hills,39,Virginie Ledoyen,414,Leonardo DiCaprio,29000,39778599,The BeachÂ ,176169,29461,548,English,USA,R,50000000,2000,6.6,2.35,0
Garry Marshall,93,0,Spencer Breslin,434,Felicity Huffman,508,Amber Valletta,627,37486138,Raising HelenÂ ,30890,2052,106,English,USA,PG-13,50000000,2004,6,1.85,718
James McTeigue,235,160,Rain,72,Ben Miles,119,ShÃ´ Kosugi,330,38105077,Ninja AssassinÂ ,58349,701,194,English,USA,R,40000000,2009,6.4,2.35,0
Sam Raimi,113,0,Carmine Giovinazzo,432,Kelly Preston,743,J.K. Simmons,24000,35168395,For Love of the GameÂ ,26034,25469,226,English,USA,PG-13,50000000,1999,6.5,2.35,0
,14,,John Lyons,5,Bruce Alexander,7,David Jason,325,,A Touch of FrostÂ             ,4438,344,33,English,UK,,,,7.8,1.33,361
Andrew Bergman,51,31,Paul Guilfoyle,210,Rumer Willis,472,Demi Moore,2000,32800000,StripteaseÂ ,34896,3016,118,English,USA,R,40000000,1996,4.3,1.85,877
Tom Dey,98,9,Steve Coogan,1000,Judy Greer,2000,Emma Stone,15000,33643461,MarmadukeÂ ,11257,20061,65,English,USA,PG,50000000,2010,4.2,2.35,0
Clint Eastwood,315,16000,CÃ©cile De France,447,Jay Mohr,563,Matt Damon,13000,32741596,HereafterÂ ,80140,14344,323,English,USA,PG-13,50000000,2010,6.5,2.35,16000
Barbet Schroeder,136,58,Agnes Bruckner,401,Chris Penn,455,Ryan Gosling,33000,31874869,Murder by NumbersÂ ,43574,34606,302,English,USA,R,50000000,2002,6.1,1.85,0
Richard Donner,61,503,Kelly Rowan,282,Sylvester Stallone,13000,Muse Watson,45000,30306268,AssassinsÂ ,62981,58528,84,English,France,R,50000000,1995,6.3,1.85,0
Peter Webber,209,73,Richard Brake,163,Stephen Walters,184,Li Gong,879,27667947,Hannibal RisingÂ ,86374,1344,392,English,UK,R,50000000,2007,6.2,2.35,3000
Rob Reiner,99,0,Rita Wilson,323,Tim Matheson,559,Bruce Willis,13000,27067160,The Story of UsÂ ,18404,14706,150,English,USA,R,50000000,1999,5.9,1.85,0
Andrew Niccol,298,487,Rachel Roberts,201,Chandler Canterbury,329,J.D. Evermore,430,26616999,The HostÂ ,92461,1300,347,English,USA,PG-13,40000000,2013,5.9,2.35,43000
John McTiernan,131,323,Tim Daly,511,Harry Connick Jr.,631,Connie Nielsen,933,26536120,BasicÂ ,49926,3357,286,English,Germany,R,50000000,2003,6.5,2.35,0
Clint Eastwood,146,16000,Rick Hoffman,581,Anjelica Huston,1000,Clint Eastwood,16000,26199517,Blood WorkÂ ,34356,18635,260,English,USA,R,50000000,2002,6.4,2.35,705
Tom Tykwer,245,670,Armin Mueller-Stahl,294,BrÃ­an F. O'Byrne,450,Naomi Watts,6000,25450527,The InternationalÂ ,80196,7654,190,English,USA,R,50000000,2009,6.5,2.35,0
John Carpenter,104,0,Michelle Forbes,764,Valeria Golino,898,Steve Buscemi,12000,25407250,Escape from L.A.Â ,54021,15935,227,English,USA,R,50000000,1996,5.7,2.35,0
,4,,Aaron Hill,398,Brittany Curran,512,Grey Damon,629,,TwistedÂ             ,7945,2758,22,English,USA,,,,7.5,16,915
Brad Bird,162,663,M. Emmet Walsh,521,Harry Connick Jr.,631,Vin Diesel,14000,23159305,The Iron GiantÂ ,128455,16358,514,English,USA,PG,70000000,1999,8,2.35,0
Wes Anderson,259,0,Matthew Gray Gubler,639,Anjelica Huston,1000,Bill Murray,13000,24006726,The Life Aquatic with Steve ZissouÂ ,139535,15757,632,English,USA,R,50000000,2004,7.3,2.35,0
Gary Ross,79,378,Jessica Collins,303,Donald Watkins,552,Matthew McConaughey,11000,20389967,Free State of JonesÂ ,3077,12786,47,English,USA,R,50000000,2016,6.7,1.85,10000
Alan Parker,141,317,Matt Craven,256,Kate Winslet,14000,Kevin Spacey,18000,19593740,The Life of David GaleÂ ,88270,32637,420,English,USA,R,50000000,2003,7.5,2.35,0
Stephen Herek,59,65,Kelli Garner,730,Vanessa Ferlito,923,Christina Milian,1000,19118247,Man of the HouseÂ ,19829,6171,94,English,USA,PG-13,40000000,2005,5.4,2.35,779
Jaume Collet-Serra,236,174,Bruce McGill,655,Common,988,Liam Neeson,14000,26442251,Run All NightÂ ,76010,16992,205,English,USA,R,50000000,2015,6.6,2.35,15000
David Cronenberg,356,0,Raza Jaffrey,509,Naomi Watts,6000,Viggo Mortensen,10000,17114882,Eastern PromisesÂ ,189249,17211,398,English,USA,R,25000000,2007,7.7,1.85,0
John Stockwell,120,134,Ashley Scott,795,James Frain,1000,Paul Walker,23000,18472363,Into the BlueÂ ,63599,25049,208,English,USA,PG-13,50000000,2005,5.8,2.35,0
Luc Besson,111,0,Rab Affleck,15,David Bailie,40,Paul Brooke,51,14131298,The Messenger: The Story of Joan of ArcÂ ,55889,144,390,English,France,R,390000000,1999,6.4,2.35,0
David Gordon Green,208,234,James Franco,11000,Zooey Deschanel,11000,Natalie Portman,20000,21557240,Your HighnessÂ ,85237,45202,274,English,USA,R,49900000,2011,5.6,2.35,18000
Jim Sheridan,174,260,Sarah Gadon,692,Gregory Smith,694,Naomi Watts,6000,21283440,Dream HouseÂ ,46239,8018,137,English,USA,PG-13,55000000,2011,6,2.35,0
Costa-Gavras,59,333,William Atherton,317,Blythe Danner,713,Mia Kirshner,972,10556196,Mad CityÂ ,16562,2606,73,English,USA,PG-13,50000000,1997,6.2,2.35,697
Patrick Read Johnson,22,32,Cynthia Nixon,479,Lara Flynn Boyle,619,Joe Mantegna,1000,16671505,Baby's Day OutÂ ,33186,2949,78,English,USA,PG,50000000,1994,5.9,1.85,0
Roland JoffÃ©,34,596,Demi Moore,2000,Robert Duvall,3000,Gary Oldman,10000,10400000,The Scarlet LetterÂ ,12037,15820,90,English,USA,R,50000000,1995,5.1,2.35,943
Doug Liman,214,218,Brooke Smith,405,Ty Burrell,3000,Naomi Watts,6000,9528092,Fair GameÂ ,38513,10191,127,English,USA,PG-13,22000000,2010,6.8,2.35,9000
,28,,Grant Bowler,600,Tony Curran,845,Julie Benz,3000,,DefianceÂ             ,33535,5381,149,English,USA,TV-MA,,,7,1.78,0
Tony Scott,186,12000,Edgar RamÃ­rez,897,Mo'Nique,940,Ian Ziering,984,10137232,DominoÂ ,58015,5702,374,English,France,R,50000000,2005,6,2.35,0
William Friedkin,50,607,Linda Fiorentino,602,Chazz Palminteri,979,Michael Biehn,2000,9795017,JadeÂ ,9227,5461,70,English,USA,R,50000000,1995,5.1,1.85,422
Mark Neveldine,180,83,Alison Lohman,1000,Logan Lerman,8000,Gerard Butler,18000,20488579,GamerÂ ,113483,29926,245,English,USA,R,50000000,2009,5.8,1.85,0
Richard LaGravenese,231,98,Pruitt Taylor Vince,592,Zoey Deutch,852,Alden Ehrenreich,1000,19445217,Beautiful CreaturesÂ ,67796,3580,258,English,USA,PG-13,60000000,2013,6.2,2.35,14000
Danny DeVito,105,0,Danny Woodburn,809,Vincent Schiavelli,811,Robin Williams,49000,8355815,Death to SmoochyÂ ,34730,52885,341,English,UK,R,55000000,2002,6.4,1.85,0
Ben Stiller,226,0,Justin Theroux,1000,Will Ferrell,8000,Milla Jovovich,14000,28837115,Zoolander 2Â ,34964,24107,150,English,USA,PG-13,50000000,2016,4.8,2.35,28000
George Armitage,75,5,Willie Nelson,338,Andrew Wilson,387,Morgan Freeman,11000,6471394,The Big BounceÂ ,15880,11972,93,English,USA,PG-13,50000000,2004,4.9,2.35,288
Mike Nichols,82,0,Garry Shandling,591,Linda Fiorentino,602,Judy Greer,2000,6291602,What Planet Are You From?Â ,8070,3954,91,English,USA,R,50000000,2000,5.6,1.85,255
Patrick Lussier,296,71,Katy Mixon,982,Billy Burke,2000,Nicolas Cage,12000,10706786,Drive AngryÂ ,81800,16481,211,English,USA,R,50000000,2011,5.5,1.85,15000
Andrzej Bartkowiak,103,43,Josie Ho,77,Robin Shou,342,Chris Klein,841,8742261,Street Fighter: The Legend of Chun-LiÂ ,19824,1385,179,English,Canada,PG-13,18000000,2009,3.7,2.35,0
James Wong,98,70,Delroy Lindo,848,Jet Li,5000,Jason Statham,26000,43905746,The OneÂ ,77684,32831,294,English,USA,PG-13,49000000,2001,5.9,2.35,0
,30,,Stephen Walters,184,Graham McTavish,531,Tobias Menzies,1000,,OutlanderÂ             ,50391,1863,148,English,USA,TV-MA,,,8.5,16,31000
Renny Harlin,48,212,David Patrick Kelly,380,Gilbert Gottfried,560,Lauren Holly,879,21413502,The Adventures of Ford FairlaneÂ ,14429,2795,113,English,USA,R,40000000,1990,6.3,2.35,2000
Richard Curtis,195,628,Tom Sturridge,830,Charlie Rowe,882,Philip Seymour Hoffman,22000,7994115,Pirate RadioÂ ,90932,24316,209,English,UK,R,,2009,7.4,2.35,21000
Steven Soderbergh,223,0,James Lew,215,Jacob Vargas,399,Michael O'Neill,599,124107476,TrafficÂ ,170684,1418,867,English,USA,R,48000000,2000,7.6,1.85,0
Steven Spielberg,149,14000,Alison Doody,440,Julian Glover,844,Harrison Ford,11000,197171806,Indiana Jones and the Last CrusadeÂ ,515306,12884,477,English,USA,PG-13,48000000,1989,8.3,2.35,0
Joe Wright,324,456,Matthew Macfadyen,0,Guro Nagelhus Schia,35,Kelly Macdonald,2000,12802907,Anna KareninaÂ ,70886,2035,226,English,UK,R,,2012,6.6,2.35,36000
Neill Blomkamp,371,662,Jose Pablo Cantillo,502,Sharlto Copley,2000,Hugh Jackman,20000,31569268,ChappieÂ ,172965,23051,627,English,USA,R,49000000,2015,6.9,2.35,67000
Phillip Noyce,75,176,Leland Orser,308,Angelina Jolie Pitt,11000,Denzel Washington,18000,66488090,The Bone CollectorÂ ,120202,29748,397,English,USA,R,48000000,1999,6.7,2.35,0
David Fincher,233,21000,Mel Rodriguez,237,Dwight Yoakam,324,Kristen Stewart,17000,95308367,Panic RoomÂ ,206104,18141,850,English,USA,R,48000000,2002,6.8,2.35,0
Chuck Bowman,32,42,Steve Bacic,235,Lochlyn Munro,555,P.J. Soles,598,,The Tooth FairyÂ ,1263,2353,32,English,USA,,1500000,2006,4.6,1.78,352
David O. Russell,150,737,Mykelti Williamson,393,Jamie Kennedy,490,Judy Greer,2000,60652036,Three KingsÂ ,137854,3743,560,English,USA,R,48000000,1999,7.1,2.35,3000
Daniel Espinosa,172,79,Michael Nardone,194,Fares Fares,254,Tom Hardy,27000,1206135,Child 44Â ,40568,27666,185,English,Czech Republic,R,50000000,2015,6.4,2.35,18000
Jerry Zucker,103,109,Vince Vieluf,261,Douglas Haase,629,Corinna Harney,779,56607223,Rat RaceÂ ,93367,1823,497,English,Canada,PG-13,48000000,2001,6.4,2.35,0
Iain Softley,140,34,Alfre Woodard,1000,Jeff Bridges,12000,Kevin Spacey,18000,50173190,K-PAXÂ ,148490,33615,537,English,USA,PG-13,48000000,2001,7.4,2.35,0
James Mangold,125,446,Bradley Whitford,821,Natasha Lyonne,1000,Hugh Jackman,20000,47095453,Kate & LeopoldÂ ,64595,22209,316,English,USA,PG-13,48000000,2001,6.4,1.85,0
Harold Ramis,125,11000,Brian Doyle-Murray,484,Frances O'Connor,575,Brendan Fraser,3000,37879996,BedazzledÂ ,81888,5390,254,English,USA,PG-13,48000000,2000,6,2.35,0
Francis Ford Coppola,36,0,Fred Gwynne,886,Bob Hoskins,5000,Nicolas Cage,12000,25900000,The Cotton ClubÂ ,12771,18793,84,English,USA,R,58000000,1984,6.5,1.85,828
James Mangold,295,446,Gretchen Mol,600,Logan Lerman,8000,Christian Bale,23000,53574088,3:10 to YumaÂ ,237872,33548,560,English,USA,R,55000000,2007,7.8,2.35,0
Olivier Megaton,222,118,Jon Gries,482,Dougray Scott,794,Liam Neeson,14000,89253340,Taken 3Â ,133436,16967,323,English,France,PG-13,48000000,2014,6,2.35,38000
Steven Soderbergh,158,0,Keith Hudson,23,Albert Brooks,745,Don Cheadle,3000,37339525,Out of SightÂ ,71708,3768,307,English,USA,R,48000000,1998,7,1.85,0
Ben Stiller,72,0,Andy Dick,302,Janeane Garofalo,1000,Matthew Broderick,2000,60154431,The Cable GuyÂ ,122347,3718,345,English,USA,PG-13,47000000,1996,6,2.35,0
Deepa Mehta,34,375,Eric Peterson,59,Gulshan Grover,102,Nandita Das,113,528972,EarthÂ ,5639,371,55,Hindi,India,Unrated,,1998,7.8,,522
Warren Beatty,72,631,Seymour Cassel,327,Warren Beatty,631,Charlie Korsmo,678,103738726,Dick TracyÂ ,47819,2096,164,English,USA,PG,100000000,1990,6.1,1.85,2000
John McTiernan,152,323,Denis Leary,835,Faye Dunaway,977,Mark Margolis,1000,69304264,The Thomas Crown AffairÂ ,73068,4660,419,English,USA,R,48000000,1999,6.8,2.35,0
Penny Marshall,89,545,Alissa Dean,807,Adam Garcia,811,Rosie Perez,919,29781453,Riding in Cars with BoysÂ ,22447,4796,210,English,USA,PG-13,48000000,2001,6.4,1.85,0
Ted Kotcheff,145,270,Chris Mulkey,535,Brian Dennehy,954,Sylvester Stallone,13000,,First BloodÂ ,172489,15192,376,English,USA,R,14000000,1982,7.7,2.35,0
Andrei Tarkovsky,144,0,Natalya Bondarchuk,12,Anatoliy Solonitsyn,29,Donatas Banionis,29,,SolarisÂ ,54057,95,236,Russian,Soviet Union,PG,1000000,1972,8.1,2.35,0
Paul Bolger,93,0,Rob Paulsen,677,George Carlin,769,Sarah Michelle Gellar,4000,15519841,Happily N'Ever AfterÂ ,8693,6863,71,English,USA,PG,47000000,2006,4.5,1.85,261
Stephen Frears,46,350,George Cole,77,Bronagh Gallagher,115,Julia Roberts,8000,5600000,Mary ReillyÂ ,11913,8349,97,English,USA,R,47000000,1996,5.8,1.85,616
P.J. Hogan,84,29,Rupert Everett,692,Christopher Masterson,1000,Julia Roberts,8000,126805112,My Best Friend's WeddingÂ ,98199,12344,169,English,USA,PG-13,46000000,1997,6.3,2.35,0
Joe Roth,142,148,Larry King,135,Rainn Wilson,973,Julia Roberts,8000,93607673,America's SweetheartsÂ ,47573,9176,343,English,USA,PG-13,48000000,2001,5.7,2.35,881
Christopher Nolan,185,22000,Crystal Lowe,319,Maura Tierney,509,Al Pacino,14000,67263182,InsomniaÂ ,218771,15658,651,English,USA,R,46000000,2002,7.2,2.35,0
Jonathan Frakes,143,906,Jonathan Frakes,906,Alfre Woodard,1000,LeVar Burton,1000,92001027,Star Trek: First ContactÂ ,97838,6315,286,English,USA,PG-13,45000000,1996,7.6,2.35,3000
Jimmy Hayward,178,39,Julia Jones,364,Billy Blair,541,Michael Fassbender,13000,10539414,Jonah HexÂ ,45729,14619,176,English,USA,PG-13,47000000,2010,4.7,2.35,0
Edward Zwick,65,380,Scott Glenn,826,Matt Damon,13000,Denzel Washington,18000,58918501,Courage Under FireÂ ,40126,33233,107,English,USA,R,46000000,1996,6.6,1.85,975
